Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.123824842,0.123824842
1,0.123824842,0.123824842
2,0.123824842,0.123824842
3,0.123824842,0.123824842
4,0.123824842,0.123824842
5,0.123824842,0.123824842
6,0.597661428,0.123824842
7,0.684210526,0.45973956
8,0.473684211,0.45973956
9,0.413765604,0.45973956
10,0.413765604,0.321817692
11,0.413765604,0.321817692
12,0.413765604,0.173354779
13,0.413765604,0.173354779
14,0.413765604,0.173354779
15,0.413765604,0.173354779
16,0.873505165,0.173354779
17,0.873505165,0.346709558
18,1,0.643635384
19,1,0.643635384
20,0.578947368,0.346709558
21,0.505713516,0.148589811
22,0.247649684,0.148589811
23,0.247649684,0.148589811
