Hour,WeekdayLoadFactor,WeekendLoadFactor
0,0.257143000,0.128571000
1,0.285714000,0.142857000
2,0.342857000,0.171429000
3,0.371429000,0.185714000
4,0.428571000,0.214286000
5,0.285714000,0.142857000
6,0.342857000,0.171429000
7,0.492857000,0.371429000
8,0.564286000,0.407143000
9,0.435714000,0.342857000
10,0.485714000,0.242857000
11,0.428571000,0.214286000
12,0.428571000,0.214286000
13,0.371429000,0.185714000
14,0.285714000,0.142857000
15,0.314286000,0.157143000
16,0.371429000,0.185714000
17,0.371429000,0.185714000
18,0.342857000,0.171429000
19,0.428571000,0.214286000
20,0.428571000,0.214286000
21,0.4,0.2
22,0.314286000,0.157143000
23,0.285714000,0.142857000
