Month,OP,PK,STD,total,pk_pct,op_pct,std_pct
1,28019.13,21202.0,87557.07,136778.2,0.15501008201599376,0.20485084611436616,0.64013907186964
2,26536.48,18199.85,77779.7,122516.03,0.1485507651529355,0.2165959833990703,0.6348532514479942
3,30654.11,19342.76,81464.58,131461.45,0.1471363658319606,0.23317946059472186,0.6196841735733175
4,27685.21,20630.79,83956.19,132272.19,0.15597224178415736,0.20930484329321228,0.6347229149226303
5,28935.77,20431.23,84543.71,133910.71000000002,0.15257353201995566,0.21608256725694305,0.6313439007231012
6,28503.21,17956.34,81588.76,128048.31,0.1402309800105913,0.2225973150289918,0.6371717049604169
7,27799.13,20191.29,89216.43,137206.84999999998,0.14715948948612992,0.2026074499924749,0.6502330605213953
8,30146.31,17986.58,82037.53,130170.42,0.13817716805400185,0.23159109419789842,0.6302317377480997
9,27450.58,20228.7,83216.55,130895.83,0.1545404463992474,0.20971317420883462,0.635746379391918
10,28086.75,21086.21,87997.38,137170.34,0.15372280917288678,0.20475818606267215,0.6415190047644411
11,29923.01,18791.34,77517.5,126231.85,0.14886369802866709,0.23704801918057922,0.6140882827907537
12,28164.47,21397.579999999998,88033.93,137595.97999999998,0.15551021185357305,0.20468962828710552,0.6398001598593215
